prfInformationCarrier,prfYear,prfMonth,prfPrdOilGrossMillSm3,prfPrdGasGrossBillSm3,prfPrdCondensateGrossMillSm3,prfPrdOeGrossMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
24/9-12 S (Frosk),2019,8,0.01705,0.0009400000000000001,0.0,0.01799,0.00061,31140456
24/9-12 S (Frosk),2019,9,0.05557,0.0036200000000000004,0.0,0.05919,0.0,31140456
24/9-12 S (Frosk),2019,10,0.04403,0.00288,0.0,0.04691,0.0,31140456
24/9-12 S (Frosk),2019,11,0.0535,0.0033299999999999996,0.0,0.05682,0.0,31140456
24/9-12 S (Frosk),2019,12,0.05825,0.00331,0.0,0.061560000000000004,9e-05,31140456
24/9-12 S (Frosk),2020,1,0.05159,0.00298,0.0,0.054560000000000004,0.00032,31140456
24/9-12 S (Frosk),2020,2,0.05537,0.00337,0.0,0.05874,0.00137,31140456
24/9-12 S (Frosk),2020,3,0.05465,0.0036,0.0,0.05824,0.00412,31140456
24/9-12 S (Frosk),2020,4,0.04875,0.00343,0.0,0.05218,0.00484,31140456
24/9-12 S (Frosk),2020,5,0.0476,0.0033399999999999997,0.0,0.05094,0.00674,31140456
24/9-12 S (Frosk),2020,6,0.0429,0.0030800000000000003,0.0,0.04598,0.00995,31140456
24/9-12 S (Frosk),2020,7,0.03658,0.00259,0.0,0.039169999999999996,0.0123,31140456
24/9-12 S (Frosk),2020,8,0.030139999999999997,0.00203,0.0,0.03217,0.01454,31140456
24/9-12 S (Frosk),2020,9,0.03248,0.00213,0.0,0.03461,0.01371,31140456
24/9-12 S (Frosk),2020,10,0.02611,0.0017,0.0,0.02781,0.01493,31140456
24/9-12 S (Frosk),2020,11,0.018340000000000002,0.00112,0.0,0.019459999999999998,0.008879999999999999,31140456
24/9-12 S (Frosk),2020,12,0.03042,0.0018899999999999998,0.0,0.032310000000000005,0.020040000000000002,31140456
24/9-12 S (Frosk),2021,1,0.02617,0.0017699999999999999,0.0,0.027939999999999996,0.01924,31140456
24/9-12 S (Frosk),2021,2,0.02174,0.00128,0.0,0.02302,0.0164,31140456
24/9-12 S (Frosk),2021,3,0.006,0.00036,0.0,0.00635,0.00492,31140456
24/9-12 S (Frosk),2021,4,0.0,0.0,0.0,0.0,0.0,31140456
24/9-12 S (Frosk),2021,5,0.0,0.0,0.0,0.0,0.0,31140456
33/9-6 DELTA,2009,7,0.0007,0.00011,0.0,0.00081,0.0005099999999999999,44576
33/9-6 DELTA,2009,8,0.00292,0.00047000000000000004,0.0,0.00339,0.00063,44576
33/9-6 DELTA,2009,9,0.0033799999999999998,0.00054,0.0,0.00392,0.00316,44576
33/9-6 DELTA,2009,10,0.00312,0.0005,0.0,0.0036200000000000004,0.00535,44576
33/9-6 DELTA,2009,11,0.0,0.0,0.0,0.0,0.0,44576
33/9-6 DELTA,2009,12,0.00062,0.0001,0.0,0.00072,0.0009599999999999999,44576
33/9-6 DELTA,2010,1,0.00047999999999999996,8e-05,0.0,0.00055,0.00079,44576
33/9-6 DELTA,2010,2,0.0027,0.00043,0.0,0.00313,0.00451,44576
33/9-6 DELTA,2010,3,0.0032700000000000003,0.0005200000000000001,0.0,0.00379,0.0068200000000000005,44576
33/9-6 DELTA,2010,4,0.00238,0.00037999999999999997,0.0,0.0027600000000000003,0.009179999999999999,44576
33/9-6 DELTA,2010,5,0.00313,0.0005,0.0,0.0036299999999999995,0.00698,44576
33/9-6 DELTA,2010,6,0.00193,0.00031,0.0,0.00224,0.00267,44576
33/9-6 DELTA,2010,7,0.0028699999999999997,0.00045999999999999996,0.0,0.0033299999999999996,0.0036200000000000004,44576
